tcp,ber,delay,mean,off99,off95
NewReno,1e-05,1ms,2261.81817120058,1.8751571729231797,1.3052661206749148
NewReno,0.0001,1ms,2256.65199107786,10.071650643176769,7.010710650627107
NewReno,0.001,1ms,157.19841057037442,77.53063397519217,53.96780136808919
NewReno,1e-05,10ms,272.3334807267505,2.199993246251313,1.5313791779752346
NewReno,0.0001,10ms,272.29474690865806,2.265214807239894,1.5767788357347041
NewReno,0.001,10ms,142.039344184303,56.560419872823644,39.37077963233184
NewReno,1e-05,20ms,133.2597169176685,1.7834066554424386,1.2414000918687476
NewReno,0.0001,20ms,133.56939014510516,1.8885838027245576,1.31461217723361
NewReno,0.001,20ms,100.85277059443229,24.127147357693215,16.794511142463254
NewReno,1e-05,50ms,47.956924226745485,0.09106609130063718,0.06338961097949515
NewReno,0.0001,50ms,48.41305628783449,1.3481458020369963,0.9384221581734532
NewReno,0.001,50ms,44.320579626112476,6.157985573887814,4.286472652673965
Vegas,1e-05,1ms,2273.442133329025,1.5377481343557045,1.0704012287015827
Vegas,0.0001,1ms,2273.588952624229,1.6548438888676935,1.1519096608726855
Vegas,0.001,1ms,73.72096533868124,27.235256544954947,18.95801491701186
Vegas,1e-05,10ms,278.67969246724306,0.07591812710875227,0.052845361813415176
Vegas,0.0001,10ms,278.6528724776968,0.0625341711768326,0.043529009834606155
Vegas,0.001,10ms,103.7840398522329,59.237971192723194,41.23457914455356
Vegas,1e-05,20ms,141.0975515857328,0.022166298471986687,0.015429596427455127
Vegas,0.0001,20ms,141.110970822728,0.027751552132219172,0.019317399798471902
Vegas,0.001,20ms,74.25638797765863,34.72706021632672,24.172936447960303
Vegas,1e-05,50ms,56.853714535005544,0.005946785505956936,0.004139459752990111
Vegas,0.0001,50ms,56.856992531080564,0.0036013852062615924,0.002506865112488186
Vegas,0.001,50ms,45.03273824436465,5.983135119218824,4.164762121973087
Veno,1e-05,1ms,2257.5095640933114,9.923293740117492,6.907441846215552
Veno,0.0001,1ms,2257.1103594505266,9.058349263706113,6.305368197335919
Veno,0.001,1ms,135.43483424412796,32.28067463648959,22.470047611985446
Veno,1e-05,10ms,272.10239054448124,2.14478541220673,1.4929499111304176
Veno,0.0001,10ms,273.5417201813399,1.374445485980241,0.9567289363631777
Veno,0.001,10ms,145.9772138839357,46.33244177074728,32.25125200423785
Veno,1e-05,20ms,132.95074978606402,1.5422260871856401,1.0735182581449247
Veno,0.0001,20ms,133.0723023766022,1.517273872996399,1.0561494315274376
Veno,0.001,20ms,107.30515385427869,17.935472602708227,12.484588003955682
Veno,1e-05,50ms,48.25299173963776,0.9276825250397424,0.6457445744608739
Veno,0.0001,50ms,49.02695107784807,1.854324657870088,1.2907649489865376
Veno,0.001,50ms,44.49778180614751,6.25983510139871,4.357368436550833
WestwoodPlus,1e-05,1ms,2261.0941588044616,8.682708643404641,6.043890929025404
WestwoodPlus,0.0001,1ms,2261.299401521126,9.9779681922188,6.9454998346470225
WestwoodPlus,0.001,1ms,122.11140465646224,34.26527622184885,23.851496191236514
WestwoodPlus,1e-05,10ms,274.6153257106422,0.0433915243360159,0.030204127663576347
WestwoodPlus,0.0001,10ms,274.5838597950113,0.19757153387257892,0.13752630088689555
WestwoodPlus,0.001,10ms,116.9557504805999,37.749099999429745,26.276528723410465
WestwoodPlus,1e-05,20ms,137.04988041638495,0.019405498056920403,0.013507848586918836
WestwoodPlus,0.0001,20ms,136.99751681766242,0.20151709628460537,0.14027274210141952
WestwoodPlus,0.001,20ms,92.78003869041157,20.16491888485175,14.036468956638792
WestwoodPlus,1e-05,50ms,52.785889663278205,0.01789779656044711,0.012458362329524407
WestwoodPlus,0.0001,50ms,52.826820196993594,0.054503163309932844,0.037938757116111804
WestwoodPlus,0.001,50ms,41.58186051957178,5.147309053339687,3.5829573205823237
