tcp,ber,delay,mean,off99,off95
NewReno,1e-06,1ms,2261.813576545367,1.8769171927675774,1.3064912415915932
NewReno,1e-05,1ms,2254.2574223668353,11.529131237164217,8.025238962356473
NewReno,0.0001,1ms,2257.2487024411544,9.77757693286734,6.806010769150135
NewReno,0.001,1ms,110.02917110625367,27.903757116572518,19.423347189092272
NewReno,1e-06,10ms,271.4588227214833,2.1806034871495803,1.5178822850166105
NewReno,1e-05,10ms,272.6649331666782,2.0646107331266257,1.4371416333762352
NewReno,0.0001,10ms,271.6701223362242,2.1888416589160395,1.5236167411242536
NewReno,0.001,10ms,133.45994013415444,50.506101849865715,35.15646825978735
NewReno,1e-06,20ms,133.04615531029603,1.7191664468272445,1.1966835373839908
NewReno,1e-05,20ms,132.78425717144827,1.2539456619326295,0.8728509872782775
NewReno,0.0001,20ms,133.19133391459707,1.580940660606089,1.1004668370650148
NewReno,0.001,20ms,98.4853326714727,23.208714618371925,16.155205191972755
NewReno,1e-06,50ms,48.37976340041257,1.3577659293107556,0.9451185708199963
NewReno,1e-05,50ms,48.76546208018583,1.6719732291293838,1.163833113389598
NewReno,0.0001,50ms,47.921220008386264,0.07037409444619451,0.04898625170208999
NewReno,0.001,50ms,40.3087976470094,5.993973368696796,4.17230644948616
Vegas,1e-06,1ms,2273.1428938926992,2.222039677065434,1.5467253364941047
Vegas,1e-05,1ms,2273.366183960525,1.6851362692807494,1.1729956895206843
Vegas,0.0001,1ms,2273.153189810745,1.5152014036048294,1.054706819610947
Vegas,0.001,1ms,78.63946074168743,24.279055744840605,16.90025207663826
Vegas,1e-06,10ms,278.60913962314123,0.07545195268535225,0.052520865451203234
Vegas,1e-05,10ms,278.6369467226677,0.091658333723513,0.06380186120628609
Vegas,0.0001,10ms,278.67535870442873,0.06319321218043401,0.04398775745670308
Vegas,0.001,10ms,66.14108978376296,13.560480870446922,9.43922809023101
Vegas,1e-06,20ms,141.09428278665192,0.014501242732935493,0.010094076976746011
Vegas,1e-05,20ms,141.08927423057713,0.028359947033558697,0.01974089350032085
Vegas,0.0001,20ms,141.08006361826585,0.018779429393879495,0.01307205246972743
Vegas,0.001,20ms,67.61192528136415,12.841878383613878,8.939020697570843
Vegas,1e-06,50ms,56.85734208216136,0.009088100170582779,0.006326077315145458
Vegas,1e-05,50ms,56.85774641776415,0.008074444879246875,0.005620488509615597
Vegas,0.0001,50ms,56.85656979314861,0.004935734918315758,0.0034356840389366426
Vegas,0.001,50ms,42.70364235376355,6.525068613754836,4.541993129747283
Veno,1e-06,1ms,2255.2509529964473,10.94272917381006,7.617054113938221
Veno,1e-05,1ms,2259.200583191934,7.7057133127929704,5.363820520251599
Veno,0.0001,1ms,2260.905260556243,8.030377199033978,5.589813720947636
Veno,0.001,1ms,129.5951108565239,37.96400143296191,26.42611808291824
Veno,1e-06,10ms,271.1783896494749,2.058564800997407,1.4329331592866383
Veno,1e-05,10ms,272.16263229312403,2.021495047469697,1.4071295124882952
Veno,0.0001,10ms,271.0423839142743,2.1098968389078676,1.4686645480775176
Veno,0.001,10ms,130.38572700576844,61.12634097047432,42.54904234251713
Veno,1e-06,20ms,133.30736534460377,1.8666420009189655,1.2993388492497178
Veno,1e-05,20ms,132.6860394765133,1.3180155236305102,0.9174489660707449
Veno,0.0001,20ms,132.8873656259681,1.4605674957901829,1.0166770533917415
Veno,0.001,20ms,117.45460541514808,16.036877810848996,11.163007341551543
Veno,1e-06,50ms,47.94012168974989,0.0656985087993771,0.045731653299764655
Veno,1e-05,50ms,47.97940105912211,0.042719303835593525,0.029736206010130817
Veno,0.0001,50ms,49.9020384833831,2.145425017106331,1.4933951295996328
Veno,0.001,50ms,41.87247612991321,7.460613447819462,5.193210528432517
WestwoodPlus,1e-06,1ms,2251.5222684025457,12.604221345299685,8.773591535188748
WestwoodPlus,1e-05,1ms,2262.2618549387057,6.200728063312905,4.316224997792271
WestwoodPlus,0.0001,1ms,2262.2646703173095,8.212924582850116,5.716881957655282
WestwoodPlus,0.001,1ms,133.34338450461024,49.54379258330998,34.48662057907873
WestwoodPlus,1e-06,10ms,274.60128896279207,0.09683151127897782,0.06740282516647395
WestwoodPlus,1e-05,10ms,274.6684206116339,0.0856271544867141,0.05960365636288116
WestwoodPlus,0.0001,10ms,274.6260197056411,0.06316845762670517,0.04397052621828678
WestwoodPlus,0.001,10ms,130.2595039532554,57.694880785094206,40.160459247138924
WestwoodPlus,1e-06,20ms,137.06392086905453,0.039329525522138795,0.027376636981443173
WestwoodPlus,1e-05,20ms,137.0543183367661,0.020256989195772967,0.014100557588408323
WestwoodPlus,0.0001,20ms,137.009020985478,0.03009378664855811,0.020947790789157063
WestwoodPlus,0.001,20ms,92.0653903906817,26.7352099885525,18.609940719148867
WestwoodPlus,1e-06,50ms,52.80251556747963,0.0374133430700103,0.026042813837489805
WestwoodPlus,1e-05,50ms,52.815264087401204,0.05328901798177372,0.03709361048770875
WestwoodPlus,0.0001,50ms,52.80668066045504,0.047121419045459,0.03280044613128707
WestwoodPlus,0.001,50ms,41.28250346524639,4.335423170765967,3.017816887726916
